_id,table,county,product,chronic_flag,chronic_number_v2,chronic_condition,count,med_oop_member,p25th_oop_member,p75th_oop_member,med_claim_ct,p25th_claim_member,p75th_claim_member
1,dashboard_1,Alameda,All,No chronic condition,,,618617,0,,,4,,
2,dashboard_1,Alameda,All,All,,,1126611,10,,,7,,
3,dashboard_1,Alameda,All,With chronic condition,,,507994,40,,,13,,
4,dashboard_1,All,All,All,,,26749106,0,,,8,,
5,dashboard_1,All,All,No chronic condition,,,14024369,0,,,4,,
6,dashboard_1,All,All,With chronic condition,,,12724737,30,,,14,,
7,dashboard_1,Alpine,All,No chronic condition,,,261,0,,,4,,
8,dashboard_1,Alpine,All,With chronic condition,,,364,383.99,,,14,,
9,dashboard_1,Alpine,All,All,,,625,157.44,,,8,,
10,dashboard_1,Amador,All,No chronic condition,,,10717,0,,,4,,
11,dashboard_1,Amador,All,All,,,25569,60,,,9,,
12,dashboard_1,Amador,All,With chronic condition,,,14852,268.68,,,15,,
13,dashboard_1,Butte,All,With chronic condition,,,79754,235.34,,,18,,
14,dashboard_1,Butte,All,No chronic condition,,,60007,0,,,5,,
15,dashboard_1,Butte,All,All,,,139761,20,,,11,,
16,dashboard_1,Calaveras,All,With chronic condition,,,18541,377.05,,,16,,
17,dashboard_1,Calaveras,All,No chronic condition,,,11636,0,,,4,,
18,dashboard_1,Calaveras,All,All,,,30177,104.38,,,10,,
19,dashboard_1,Colusa,All,No chronic condition,,,7524,0,,,5,,
20,dashboard_1,Colusa,All,All,,,16346,0,,,10,,
21,dashboard_1,Colusa,All,With chronic condition,,,8822,50,,,15,,
22,dashboard_1,Contra Costa,All,With chronic condition,,,384141,50,,,14,,
23,dashboard_1,Contra Costa,All,All,,,831487,15,,,8,,
24,dashboard_1,Contra Costa,All,No chronic condition,,,447346,0,,,5,,
25,dashboard_1,Del Norte,All,No chronic condition,,,8752,0,,,5,,
26,dashboard_1,Del Norte,All,All,,,19365,0,,,10,,
27,dashboard_1,Del Norte,All,With chronic condition,,,10613,200,,,17,,
28,dashboard_1,El Dorado,All,With chronic condition,,,71788,169.49,,,15,,
29,dashboard_1,El Dorado,All,No chronic condition,,,61303,8,,,4,,
30,dashboard_1,El Dorado,All,All,,,133091,50,,,8,,
31,dashboard_1,Fresno,All,No chronic condition,,,350466,0,,,4,,
32,dashboard_1,Fresno,All,All,,,705722,0,,,8,,
33,dashboard_1,Fresno,All,With chronic condition,,,355256,0,,,14,,
34,dashboard_1,Glenn,All,With chronic condition,,,11273,140,,,16,,
35,dashboard_1,Glenn,All,No chronic condition,,,9779,0,,,5,,
36,dashboard_1,Glenn,All,All,,,21052,0,,,10,,
37,dashboard_1,Humboldt,All,All,,,94164,0,,,9,,
38,dashboard_1,Humboldt,All,With chronic condition,,,50140,120,,,16,,
39,dashboard_1,Humboldt,All,No chronic condition,,,44024,0,,,5,,
40,dashboard_1,Imperial,All,No chronic condition,,,65311,0,,,4,,
41,dashboard_1,Imperial,All,With chronic condition,,,63527,0,,,16,,
42,dashboard_1,Imperial,All,All,,,128838,0,,,9,,
43,dashboard_1,Inyo,All,With chronic condition,,,7545,357.94,,,13,,
44,dashboard_1,Inyo,All,No chronic condition,,,6392,0,,,4,,
45,dashboard_1,Inyo,All,All,,,13937,35,,,8,,
46,dashboard_1,Kern,All,With chronic condition,,,315536,0,,,14,,
47,dashboard_1,Kern,All,No chronic condition,,,337103,0,,,4,,
48,dashboard_1,Kern,All,All,,,652639,0,,,7,,
49,dashboard_1,Kings,All,All,,,91730,0,,,9,,
50,dashboard_1,Kings,All,With chronic condition,,,47510,0,,,15,,
51,dashboard_1,Kings,All,No chronic condition,,,44220,0,,,5,,
52,dashboard_1,Lake,All,All,,,48097,0,,,11,,
53,dashboard_1,Lake,All,With chronic condition,,,27491,15,,,18,,
54,dashboard_1,Lake,All,No chronic condition,,,20606,0,,,5,,
55,dashboard_1,Lassen,All,With chronic condition,,,9362,358.03,,,15,,
56,dashboard_1,Lassen,All,No chronic condition,,,7928,0,,,4,,
57,dashboard_1,Lassen,All,All,,,17290,70,,,9,,
