CHRONIC_CONDITION,TOTAL_MEMBERS,MEDIAN_OOP_COST,MEDIAN_CLAIMS,OOP_COST_PER_CLAIM
Hip/Pelvic Fracture,75492,326.27,35.00,9.32200000
Atrial Fibrillation,771851,275.00,26.00,10.57692308
Combined Cancer,870369,269.74,24.00,11.23916667
Breast Cancer,339430,255.00,23.00,11.08695652
Ischemic Heart Disease,1196877,240.00,25.00,9.60000000
Colorectal Cancer,105761,220.00,25.00,8.80000000
Acute Myocardial Infarction,98969,215.72,37.00,5.83027027
Stroke,403347,200.00,31.00,6.45161290
Rheumatoid Arthritis,2723099,157.00,23.00,6.82608696
Osteoporosis,861050,140.12,21.00,6.67238095
Heart Failure,799883,120.00,29.00,4.13793103
Alzheimers Disease,133988,110.00,23.00,4.78260870
Dementia,451740,100.00,25.00,4.00000000
Chronic Kidney Disease,1455999,75.00,23.00,3.26086957
Hyperlipidemia,5634309,73.05,16.00,4.56562500
COPD,824325,70.00,25.00,2.80000000
Hypertension,5850699,60.00,16.00,3.75000000
Anemia,1786832,40.00,25.00,1.60000000
Anxiety,2951303,30.00,19.00,1.57894737
Diabetes,2990363,26.00,17.00,1.52941176
Depression,2976405,20.00,20.00,1.00000000
Asthma,1547117,15.00,17.00,0.88235294
Obesity,2830268,0.00,17.00,0.00000000
